LIFNR,KTOKK,STKZN,NAME1,SORT1,STCD1,STCD2,LAND1,REGIO,ORT01,STRAS,TELF1,SMTP_ADDR,BRSCH,ZZ_TIPO_SOC,LOEVM,ERDAT
0000500001,ZLIE,X,Claudia Paula,Jiménez Medina,,944567839,CO,VAL,76001,Calle 93 # 7-18,3249007110,claudia.gómez69@ejemplo.test,,,,2022-06-15
0000500002,ZLIE,X,Gisela Kelly,Parra Cuesta,,964561458,CO,CUN,25286,Calle 47 # 91-44 Sur,3354644487,gisela.ramírez156@ejemplo.test,,,,2022-06-15
0000500003,ZLIE,X,Margarita Sandra,Arrieta Mosquera,,933233492,CO,BOG,11001,Carrera 3ª # 46-45 Este,3382727155,margarita.caicedo171@ejemplo.test,,,,2022-06-15
0000500004,ZLIE,X,Guillermo Andrés,Mejía Muñoz,,924995584,CO,CUN,25754,Cr. 14 # 8-12 Sur,3195881657,guillermo.vargas192@ejemplo.test,,,,2022-06-15
0000500005,ZLIE,X,Lorenzo Roberto,Quintero Acevedo,,987470323,CO,CUN,25286,Av. carrera 76 # 24N-8 Sur,3272913650,lorenzo.chávez193@ejemplo.test,,,,2022-06-15
0000500006,ZLIE,X,Gloria Patricia,Barrera Velásquez,,987444080,CO,ANT,05001,Av. Arauca # 39-16 Este,3039358070,gloria.forero205@ejemplo.test,,,,2022-06-15
0000500007,ZLIE,X,Ligia Margarita,Sánchez Martínez,,979219547,CO,VAL,76001,Calle 9ª # 5-5,3157320468,ligia.villa236@ejemplo.test,,,,2022-06-15
0000500008,ZLIE,X,Sandra,Vélez Montoya,,956056684,CO,CUN,25286,Cr. 58 # 33Z-34 Este,3379304576,sandra.alfonso238@ejemplo.test,,,,2022-06-15
0000500009,ZLIE,X,Yohana,Gaviria Manrique,,997938267,CO,CUN,25286,Carrera 141 # 4L-40,3284477892,yohana.pabón270@ejemplo.test,,,,2022-06-15
0000500010,ZLIE,X,Cecilia,Calderón Restrepo,,935318698,CO,CUN,25286,Cl. 5 Sur # 56-8,3330826124,cecilia.muñoz286@ejemplo.test,,,,2022-06-15
0000500011,ZLIE,X,Gloria Jenny,Montes Gómez,,969004384,CO,CUN,25286,Cl. 5A # 5-5 Sur,3182447834,gloria.ramírez355@ejemplo.test,,,,2022-06-15
0000500012,ZLIE,X,César Antonio,Bernal Ruiz,,980403389,CO,BOG,11001,Calle 166G # 68-48,3113382144,césar.rueda367@ejemplo.test,,,,2022-06-15
0000500013,ZLIE,X,Cristian Jesús,Parra Rivera,,980038423,CO,VAL,76001,Calle 109Y # 24-7 Este,3175481422,cristian.flórez383@ejemplo.test,,,,2022-06-15
0000500014,ZLIE,X,Kevin Manuel,Rodríguez Vargas,,983726247,CO,BOG,11001,Avenida calle 8ª # 8-73 Sur,3139040281,kevin.orozco410@ejemplo.test,,,,2022-06-15
0000500015,ZLIE,X,Vanessa Luisa,Rodríguez Rodríguez,,980336793,CO,ANT,05001,Cr. 62 # 23-22,3310786492,vanessa.estrada418@ejemplo.test,,,,2022-06-15
0000500016,ZLIE,X,Jorge Luis,García Angulo,,968265051,CO,VAL,76001,Tr. 67 # 1-6 Este,3481357754,jorge.barrera439@ejemplo.test,,,,2022-06-15
0000500017,ZLIE,X,Dolores Yolanda,Correa Bolívar,,949717470,CO,CUN,25286,Calle 146P # 9-82 Este,3410208254,dolores.mora462@ejemplo.test,,,,2022-06-15
0000500018,ZLIE,X,Xiomara Rosalba,Cáceres Villa,,968831755,CO,BOG,11001,Cr. 5ª # 4-72 Sur,3227009473,xiomara.morales482@ejemplo.test,,,,2022-06-15
0000500019,ZLIE,X,Enrique Antonio,Sánchez Mercado,,915604664,CO,VAL,76001,Cl. 168 # 29-5 Este,3476968463,enrique.camargo496@ejemplo.test,,,,2022-06-15
0000500020,ZLIE,X,Carolina Gloria,Vergara Melo,,922689696,CO,ANT,05001,Dg. 117O # 84-82 Este,3388948480,carolina.castro501@ejemplo.test,,,,2022-06-15
0000500021,ZLIE,X,Angélica Valentina,Leal Soto,,983154895,CO,CUN,25286,Calle 89 # 72-94,3155482627,angélica.sierra560@ejemplo.test,,,,2022-06-15
0000500022,ZLIE,X,Andrés,García Cabrera,,982412072,CO,CUN,25286,Calle 173D # 80-1 Sur,3255527812,andrés.jaimes650@ejemplo.test,,,,2022-06-15
0000500023,ZLIE,X,Leonardo,Burbano Carrillo,,990524931,CO,BOG,11001,Calle 77H # 2-4,3072385292,leonardo.torres656@ejemplo.test,,,,2022-06-15
0000500024,ZLIE,X,Maira Rita,Ramírez Benavides,,922031496,CO,VAL,76001,Diagonal 188P # 7-62,3021687583,maira.álvarez708@ejemplo.test,,,,2022-06-15
0000500025,ZLIE,X,Erick Camilo,Peña Mosquera,,954434348,CO,CUN,25286,Cr. 151 # 6-6,3190616002,erick.ruiz741@ejemplo.test,,,,2022-06-15
0000500026,ZLIE,X,Juan Juan,Morales Pineda,,996185105,CO,CUN,25286,Carrera 189R # 22Z-7,3481180186,juan.álvarez754@ejemplo.test,,,,2022-06-15
0000500027,ZLIE,X,Edilson Milton,Fernández Rincón,,931195547,CO,ANT,05001,Av. carrera 191 # 6B-31 Sur,3495981323,edilson.angarita770@ejemplo.test,,,,2022-06-15
0000500028,ZLIE,,Jaimes-Giraldo S.A.S.,JAIMES-GIRALDO,868799924-9,,CO,CUN,25754,Tr. 83 # 57-4,6013061420,proveedores@jaimes-giraldo.test,G471,SAS,,2022-01-15
0000500029,ZLIE,,Guzmán Acosta and Muñoz Ltda.,GUZMÁN ACOSTA AND MUÑOZ,845767653-7,,CO,CUN,25754,Carrera 2C # 80-67 Sur,6013157796,proveedores@guzmán.test,K649,LTDA,,2022-01-15
0000500030,ZLIE,,Suárez-Mora Ltda.,SUÁREZ-MORA,892778281-9,,CO,CUN,25286,Av. María María González Zapata # 9O-5 Sur,6017975639,proveedores@suárez-mora.test,Q861,LTDA,,2022-01-15
0000500031,ZLIE,,Fundación Arévalo-Jiménez,ARÉVALO-JIMÉNEZ,883565985-8,,CO,CUN,25754,Cr. 2ª # 40-5,6018089284,proveedores@arévalo-jiménez.test,Q861,ESAL,,2022-01-15
0000500032,ZLIE,,Fundación Giraldo-Mejía,GIRALDO-MEJÍA,832350985-9,,CO,VAL,76001,Av. Valle del Cauca # 7-4 Este,6015025787,proveedores@giraldo-mejía.test,G471,ESAL,,2022-01-15
0000500033,ZLIE,,Gallego LLC S.A.,GALLEGO LLC,887501519-9,,CO,VAL,76001,Cr. 11 # 7-68,6015742666,proveedores@gallego.test,G471,SA,,2022-01-15
0000500034,ZLIE,,Osorio Rojas and Triana S.A.,OSORIO ROJAS AND TRIANA,885818089-8,,CO,ANT,05001,Tr. 99 # 1-10 Este,6014891695,proveedores@osorio.test,G471,SA,,2022-01-15
0000500035,ZLIE,,Pérez-Rivera Ltda.,PÉREZ-RIVERA,868176427-6,,CO,CUN,25286,Cr. 69 # 3-1 Este,6013169775,proveedores@pérez-rivera.test,P852,LTDA,,2022-01-15
0000500036,ZLIE,,Fundación Rojas and Sons,ROJAS AND SONS,853342662-8,,CO,BOG,11001,Transversal 8M # 75-34 Este,6011192641,proveedores@rojas.test,Q861,ESAL,,2022-01-15
0000500037,ZLIE,,Ceballos LLC Ltda.,CEBALLOS LLC,897106047-7,,CO,CUN,25754,Cl. 9 Este # 11-7 Sur,6019716720,proveedores@ceballos.test,I551,LTDA,,2022-01-15
0000500038,ZLIE,,López-Alfonso S.A.,LÓPEZ-ALFONSO,852991491-5,,CO,VAL,76001,Avenida calle 183 # 9Z-5 Sur,6013767305,proveedores@lópez-alfonso.test,I551,SA,,2022-01-15
0000500039,ZLIE,,Gamboa Inc S.A.,GAMBOA INC,848043705-5,,CO,CUN,25286,Calle 32 # 74-70,6012790101,proveedores@gamboa.test,G471,SA,,2022-01-15
0000500040,ZLIE,,Pineda Ltd S.A.S.,PINEDA LTD,828783746-9,,CO,CUN,25754,Avenida Guasca # 68-86 Sur,6016772618,proveedores@pineda.test,P852,SAS,,2022-01-15
0000500041,ZLIE,,Pinzón Group Ltda.,PINZÓN GROUP,814035587-5,,CO,ANT,05001,Diagonal 85R # 8R-13,6018827536,proveedores@pinzón.test,I551,LTDA,,2022-01-15
0000500042,ZLIE,,Osorio Inc S.A.,OSORIO INC,844180820-6,,CO,ANT,05001,Avenida Vaupés # 8-9 Sur,6011633041,proveedores@osorio.test,P852,SA,,2022-01-15
0000500043,ZLIE,,Fundación Contreras Inc,CONTRERAS INC,891920462-1,,CO,VAL,76001,Calle 6F # 69-62 Sur,6013924074,proveedores@contreras.test,P852,ESAL,,2022-01-15
0000500044,ZLIE,,Sierra Caicedo and Carvajal S.A.,SIERRA CAICEDO AND CARVAJAL,867533818-0,,CO,ANT,05001,Carrera 176 # 54-71 Este,6014673979,proveedores@sierra.test,Q861,SA,,2022-01-15
0000500045,ZLIE,,Montenegro Pérez and Mosquera S.A.,MONTENEGRO PÉREZ AND MOSQUERA,860952754-1,,CO,ANT,05001,Cl. 58 # 7-64 Este,6019128583,proveedores@montenegro.test,I551,SA,,2022-01-15
0000500046,ZLIE,,Navarro Group S.A.S.,NAVARRO GROUP,832258053-7,,CO,VAL,76001,Cl. 90 # 20X-86,6016317594,proveedores@navarro.test,Q861,SAS,,2022-01-15
0000500047,ZLIE,,Jiménez and Sons Ltda.,JIMÉNEZ AND SONS,849134643-1,,CO,VAL,76001,Cl. 75 # 5J-2 Sur,6013707578,proveedores@jiménez.test,Q861,LTDA,,2022-01-15
0000500048,ZLIE,,Vanegas Hernández and Díaz S.A.S.,VANEGAS HERNÁNDEZ AND DÍAZ,885199121-9,,CO,ANT,05001,Av. carrera 19 # 6-8 Este,6017331494,proveedores@vanegas.test,P852,SAS,,2022-01-15
0000500049,ZLIE,,Acosta Vargas and Villegas S.A.,ACOSTA VARGAS AND VILLEGAS,813558363-3,,CO,CUN,25754,Cl. 59I # 13-41 Este,6011309934,proveedores@acosta.test,Q861,SA,,2022-01-15
