domain_code,catalog_code,catalog_name,official_source,is_hierarchical,value_code,value_name,parent_value_code,is_active,atributos_eav
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,SUBSIDIO,Subsidio familiar,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,SALUD,Salud,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,EDUCACION,Educación,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,VIVIENDA,Vivienda,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,CREDITO,Crédito social,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,RECREACION,Recreación y deportes,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,HOTELERIA_TURISMO,Hotelería y turismo,,t,""
BUSINESS,CAT_BUSINESS_UNIT,Unidad estratégica de servicio (UES),Interno,f,MERCADEO,Mercadeo social,,t,""
BUSINESS,CAT_CIIU,Actividad económica CIIU rev. 4 A.C. (ilustrativo),DIAN,f,4711,Comercio al por menor en establecimientos no especializados (alimentos),,t,""
BUSINESS,CAT_CIIU,Actividad económica CIIU rev. 4 A.C. (ilustrativo),DIAN,f,8610,Actividades de hospitales y clínicas,,t,""
BUSINESS,CAT_CIIU,Actividad económica CIIU rev. 4 A.C. (ilustrativo),DIAN,f,6492,Actividades financieras de fondos de empleados y sector solidario,,t,""
BUSINESS,CAT_CIIU,Actividad económica CIIU rev. 4 A.C. (ilustrativo),DIAN,f,5511,Alojamiento en hoteles,,t,""
BUSINESS,CAT_CIIU,Actividad económica CIIU rev. 4 A.C. (ilustrativo),DIAN,f,8521,Educación básica primaria,,t,""
BUSINESS,CAT_ENROLLMENT_STATUS,Estado del vínculo de servicio,Interno,f,ACTIVE,Activo,,t,""
BUSINESS,CAT_ENROLLMENT_STATUS,Estado del vínculo de servicio,Interno,f,SUSPENDED,Suspendido,,t,""
