source_system_cd,source_field,source_value,catalog_code,value_code,value_name
SAP_CRM,GESCHL,1,CAT_GENDER,M,Masculino
SAP_CRM,GESCHL,2,CAT_GENDER,F,Femenino
SAP_CRM,RLTYP,ZAFI,CAT_PARTY_ROLE,AFFILIATE,Afiliado
SAP_CRM,RLTYP,ZEMP,CAT_PARTY_ROLE,AFFILIATING_COMPANY,Empresa afiliadora
SAP_CRM,RLTYP,ZSUB,CAT_SERVICE,CUOTA_MONETARIA,Cuota monetaria
SAP_CRM,ZZ_ORIGEN_TEL,COB,CAT_PREF_ORIGIN,COLLECTIONS_MANAGEMENT,Gestión de cobranza
SAP_CRM,ZZ_ORIGEN_TEL,REF,CAT_PREF_ORIGIN,THIRD_PARTY_REFERENCE,Referencia de tercero
SAP_CRM,ZZ_ORIGEN_TEL,TIT,CAT_PREF_ORIGIN,TITULAR,Declarado por el titular
SAP_ECC_HCM,SEXKZ,1,CAT_GENDER,M,Masculino
SAP_ECC_HCM,SEXKZ,2,CAT_GENDER,F,Femenino
SAP_ECC_MM,LAND1,CO,CAT_COUNTRY,COL,Colombia
SAP_ECC_MM,REGIO,ANT,CAT_GEO_DIVIPOLA,05,Antioquia
SAP_ECC_SD,KTOKD,ZCRE,CAT_SERVICE,CREDITO_SOCIAL,Crédito social
SAP_ECC_SD,KTOKD,ZSAL,CAT_SERVICE,SALUD_EPS,Plan de beneficios EPS
SAP_ECC_SD,LAND1,CO,CAT_COUNTRY,COL,Colombia
SAP_ECC_SD,LOEVM,X,CAT_ENROLLMENT_STATUS,CLOSED,Cerrado
SAP_ECC_SD,REGIO,ANT,CAT_GEO_DIVIPOLA,05,Antioquia
SF_EC,employmentStatus,T,CAT_PARTY_STATUS,INACTIVE,Inactivo
SF_EC,gender,F,CAT_GENDER,F,Femenino
SF_EC,gender,M,CAT_GENDER,M,Masculino
WEB_PORTAL,categoria,A,CAT_SEGMENT_TYPE,A,Categoría A
WEB_PORTAL,categoria,B,CAT_SEGMENT_TYPE,B,Categoría B
WEB_PORTAL,categoria,C,CAT_SEGMENT_TYPE,C,Categoría C
WEB_PORTAL,tipo_doc,cedula,CAT_ID_TYPE,CC,Cédula de ciudadanía
